"mic";"symbol";"isin";"date";"trading_model_id";"open_price";"high_price";"low_price";"last_price";"vwap_price";"change_prev_close_percentage";"num_trades";"volume";"turnover";"price_currency";"turnover_currency"
"XLJU";"PETG";"SI0031102153";"2018-10-03";"CT";337,00;340,00;337,00;340,00;338,90000000000;1,49;4;20,00000;6778,00;"EUR";"EUR"
"XLJU";"PETG";"SI0031102153";"2018-10-02";"CT";338,00;338,00;334,00;335,00;335,71568627451;-0,89;10;102,00000;34243,00;"EUR";"EUR"
"XLJU";"PETG";"SI0031102153";"2018-10-01";"CT";338,00;339,00;338,00;338,00;338,69230769231;-0,29;4;39,00000;13209,00;"EUR";"EUR"
"XLJU";"PETG";"SI0031102153";"2018-09-28";"CT";338,00;339,00;335,00;339,00;338,24615384615;0,30;6;65,00000;21986,00;"EUR";"EUR"
"XLJU";"PETG";"SI0031102153";"2018-09-27";"CT";335,00;338,00;335,00;338,00;337,42857142857;0,00;6;63,00000;21258,00;"EUR";"EUR"
"XLJU";"PETG";"SI0031102153";"2018-09-26";"CT";337,00;338,00;333,00;338,00;334,38873626374;-0,29;30;728,00000;243435,00;"EUR";"EUR"
"XLJU";"PETG";"SI0031102153";"2018-09-25";"CT";342,00;342,00;338,00;339,00;339,33084577114;-1,45;15;402,00000;136411,00;"EUR";"EUR"
"XLJU";"PETG";"SI0031102153";"2018-09-24";"CT";339,00;346,00;336,00;344,00;339,64705882353;-0,58;19;204,00000;69288,00;"EUR";"EUR"
"XLJU";"PETG";"SI0031102153";"2018-09-21";"CT";340,00;346,00;340,00;346,00;342,61904761905;1,76;7;63,00000;21585,00;"EUR";"EUR"
"XLJU";"PETG";"SI0031102153";"2018-09-20";"CT";340,00;340,00;340,00;340,00;340,00000000000;-2,02;2;6,00000;2040,00;"EUR";"EUR"
"XLJU";"PETG";"SI0031102153";"2018-09-19";"CT";342,00;347,00;339,00;347,00;346,23283582090;1,46;9;335,00000;115988,00;"EUR";"EUR"
"XLJU";"PETG";"SI0031102153";"2018-09-19";"BLOCK";;339,00;339,00;339,00;339,00000000000;;1;440,00000;149160,00;"EUR";"EUR"
"XLJU";"PETG";"SI0031102153";"2018-09-18";"CT";339,00;342,00;339,00;342,00;339,60000000000;0,88;8;45,00000;15282,00;"EUR";"EUR"
"XLJU";"PETG";"SI0031102153";"2018-09-17";"CT";342,00;342,00;338,00;339,00;339,85792349727;-0,29;19;366,00000;124388,00;"EUR";"EUR"
"XLJU";"PETG";"SI0031102153";"2018-09-14";"CT";340,00;344,00;340,00;340,00;341,77777777778;0,00;5;27,00000;9228,00;"EUR";"EUR"
"XLJU";"PETG";"SI0031102153";"2018-09-13";"CT";341,00;341,00;340,00;340,00;340,43820224719;-0,58;26;267,00000;90897,00;"EUR";"EUR"
"XLJU";"PETG";"SI0031102153";"2018-09-12";"CT";342,00;342,00;341,00;342,00;341,99203187251;-0,58;9;251,00000;85840,00;"EUR";"EUR"
"XLJU";"PETG";"SI0031102153";"2018-09-11";"CT";345,00;345,00;343,00;344,00;343,68382352941;-1,43;8;136,00000;46741,00;"EUR";"EUR"
"XLJU";"PETG";"SI0031102153";"2018-09-10";"CT";348,00;349,00;342,00;349,00;346,93333333333;0,29;13;105,00000;36428,00;"EUR";"EUR"
"XLJU";"PETG";"SI0031102153";"2018-09-07";"CT";345,00;348,00;345,00;348,00;347,47058823529;0,87;2;17,00000;5907,00;"EUR";"EUR"
"XLJU";"PETG";"SI0031102153";"2018-09-06";"CT";344,00;345,00;344,00;345,00;344,77551020408;0,00;5;49,00000;16894,00;"EUR";"EUR"
"XLJU";"PETG";"SI0031102153";"2018-09-05";"CT";346,00;346,00;344,00;345,00;345,07741935484;-0,86;8;155,00000;53487,00;"EUR";"EUR"
"XLJU";"PETG";"SI0031102153";"2018-09-04";"CT";348,00;349,00;345,00;348,00;348,18348623853;0,00;10;218,00000;75904,00;"EUR";"EUR"
"XLJU";"PETG";"SI0031102153";"2018-09-03";"CT";342,00;349,00;340,00;348,00;347,93925925926;1,75;18;675,00000;234859,00;"EUR";"EUR"
"XLJU";"PETG";"SI0031102153";"2018-09-03";"BLOCK";;350,00;350,00;350,00;350,00000000000;;1;420,00000;147000,00;"EUR";"EUR"
"XLJU";"PETG";"SI0031102153";"2018-08-31";"CT";341,00;346,00;341,00;342,00;344,03846153846;-0,87;5;26,00000;8945,00;"EUR";"EUR"
"XLJU";"PETG";"SI0031102153";"2018-08-30";"CT";346,00;349,00;345,00;345,00;347,10000000000;0,00;6;70,00000;24297,00;"EUR";"EUR"
"XLJU";"PETG";"SI0031102153";"2018-08-30";"BLOCK";;350,00;350,00;350,00;350,00000000000;;1;400,00000;140000,00;"EUR";"EUR"
"XLJU";"PETG";"SI0031102153";"2018-08-29";"CT";346,00;347,00;345,00;345,00;346,11920529801;0,88;9;151,00000;52264,00;"EUR";"EUR"
"XLJU";"PETG";"SI0031102153";"2018-08-29";"BLOCK";;350,00;350,00;350,00;350,00000000000;;1;375,00000;131250,00;"EUR";"EUR"
"XLJU";"PETG";"SI0031102153";"2018-08-28";"CT";342,00;342,00;342,00;342,00;342,00000000000;-1,44;3;37,00000;12654,00;"EUR";"EUR"
